epoch,acc,loss,val_acc,val_loss
0,0.7852007189934093,0.46332450301222916,0.8650306749685167,0.357638069426599
1,0.8204014379868184,0.39207641915192215,0.8568507158683122,0.33916102599634473
2,0.8349310964649491,0.36659567417892747,0.8343558282208589,0.35651348217377143
3,0.8430197723187537,0.35273949595680487,0.7852760738634137,0.44438262122296607
4,0.8475883762732175,0.34108669467498043,0.8302658487926475,0.3702472889594018
5,0.8557519472738166,0.32829014197161555,0.8670756648654586,0.3178494482440207
6,0.859496704613541,0.32440721286028856,0.8425357875648452,0.3225523905032495
7,0.8619682444577591,0.31364037024182,0.8404907976679031,0.3346491634601952
8,0.8660125823846615,0.30893332973220805,0.8629856853153565,0.3196044201621736
9,0.8710305572198922,0.30010889752261866,0.854805726093261,0.29887649886203443
10,0.8693828639904134,0.29508626261930254,0.8507157465431587,0.32939981439118493
11,0.8749251048532055,0.28846904631858106,0.8691206546405098,0.3268776005153032
12,0.8791941282204914,0.2799799666924702,0.8854805728409187,0.27419928855935
13,0.8836878370281606,0.26674339298433425,0.8548057262151519,0.30868096847719456
14,0.887133013780707,0.26369284420151995,0.8670756648654586,0.3129950394294013
15,0.8931246255242661,0.2513069749289176,0.8773006136188234,0.29258896334283435
16,0.8970191731575794,0.24146752934423016,0.8507157466650497,0.35826791649215795
17,0.9002396644697424,0.23604054744994304,0.8548057259713702,0.32652542964081094
18,0.9053325344517675,0.22132454389330153,0.8404907976679031,0.3474111713331901
19,0.9102756141402037,0.21491753974669417,0.856850715990203,0.36306322212111974
20,0.9132714200119832,0.20601317727544338,0.8343558284646406,0.40919915603469975
21,0.9147693229478729,0.20473898635644838,0.8507157464212679,0.3481943324238732
22,0.9220341521869383,0.18350902182865306,0.8384458078928521,0.5116941592444672
23,0.9255542240862792,0.17780398497990751,0.8629856853153565,0.3392694294452667
24,0.9284751348112642,0.18196742025908771,0.8527607362572645,0.3343732839713067
