epoch,acc,loss,val_acc,val_loss
0,0.57505,0.6789131517410278,0.7099999992052713,0.6378630010286966
1,0.6322,0.6445628350257874,0.6933333333333334,0.6403826610247294
2,0.6538,0.630083488035202,0.91,0.3692184543609619
3,0.66115,0.6249114721775055,0.803333334128062,0.4947903601328532
4,0.666,0.6170109932422638,0.6766666674613953,0.623202874660492
5,0.6698,0.6104524526119233,0.81,0.486850768327713
6,0.6787,0.6053303607940674,0.7633333333333333,0.5491819127400717
7,0.68715,0.5975204048156738,0.88,0.4111756861209869
8,0.69045,0.5905407570362091,0.7333333333333333,0.5474214339256287
9,0.6918,0.5858721382141113,0.8600000007947286,0.4480674982070923
10,0.7017,0.5736646645069122,0.7733333325386047,0.5098998570442199
11,0.7071,0.5657125023841858,0.7633333325386047,0.5490414810180664
12,0.71715,0.5558215289592743,0.8200000007947286,0.4452889100710551
13,0.72365,0.5423069414615631,0.8666666658719381,0.41109243750572205
14,0.73675,0.5269933530807495,0.8166666666666667,0.4523910109202067
15,0.7486,0.5083079698562623,0.7933333333333333,0.48699498971303307
16,0.7611,0.4956053385257721,0.7733333341280619,0.5065031743049622
17,0.7697,0.4797911163568497,0.7833333333333333,0.51043594678243
18,0.78225,0.46076808676719666,0.8166666674613953,0.4428216687838237
19,0.7902,0.44674340391159056,0.8433333341280619,0.45084206064542137
20,0.8009,0.430622354221344,0.7666666658719381,0.5529827404022217
21,0.80915,0.4165845540046692,0.7333333333333333,0.5680757522583008
22,0.8188,0.3977785945415497,0.733333332935969,0.581261830329895
23,0.8243,0.3904854991674423,0.7600000007947286,0.53148539463679
24,0.83345,0.3757042422294617,0.7366666666666667,0.6585285488764445
