epoch,acc,loss,val_acc,val_loss
0,0.6924574209287178,0.6062584856648722,0.6373165617199064,0.57425789938033
1,0.7069169273756012,0.5708990587432392,0.7064989531565012,0.537267334493701
2,0.7152589503120208,0.5639803612609269,0.6540880499395935,0.6209329844020948
3,0.7292318387498945,0.5508451087424272,0.6939203348049827,0.5513534706468602
4,0.7307612095953981,0.5437553786841953,0.7002096418564675,0.5477570414043322
5,0.7370872436690173,0.5361679608866619,0.7044025164730144,0.5218859683542632
6,0.7404935697113676,0.5298606890831551,0.7023060779151676,0.5086898503188567
7,0.7454292666012934,0.523285862015153,0.7358490582282188,0.4908127580423775
8,0.7464025026275998,0.5183402236236397,0.6918238976216666,0.5365229265245002
9,0.7524504692636516,0.5126393159396291,0.7337526221695186,0.5048230547200209
10,0.7571776155966373,0.5056999178615592,0.6897274626875823,0.5644641674164707
11,0.7621828293444011,0.4977263492720799,0.7358490582282188,0.49960454073841964
12,0.7673270768327021,0.4896406382229082,0.7253668770600165,0.5085916690356577
13,0.77386166147362,0.4785468965882761,0.7400419269717714,0.5058783875071527
14,0.7842196732790552,0.46876693809450937,0.7631027261166202,0.49930301427341356
15,0.7866527633075296,0.4537283353561903,0.6645702299831798,0.6779959804107059
16,0.7979144942731463,0.4427883229178607,0.7106918255238163,0.5670573473976344
17,0.8048661800569489,0.43275471833956336,0.7211740049426161,0.5573607035902811
18,0.8111922141202091,0.4219678670261152,0.7190775675093852,0.5823249279578027
19,0.8193256864872582,0.4012614471530351,0.7211740038180001,0.6205742345416071
20,0.8248175182523187,0.392333587681953,0.746331236272488,0.5537553224048775
21,0.8291970803085449,0.37972075030917213,0.7190775688839158,0.6082669435307165
22,0.8385123392588404,0.3649822129613209,0.7253668756854859,0.6301613611245306
23,0.8503302050995918,0.35045368387585596,0.7316561838615865,0.6718457155007737
24,0.8517900591059032,0.340885777621788,0.7253668754355712,0.6315076990322497
