epoch,acc,loss,val_acc,val_loss
0,0.792240862792091,0.44700508416948953,0.8343558284646406,0.36848371203204117
1,0.8213001797483523,0.3976048173180878,0.822085889814334,0.4065645760675637
2,0.8297633313361295,0.3833502133836141,0.7914110430666762,0.43204704353658213
3,0.8385260635110845,0.36355575049544897,0.8200408999173919,0.3744545493023527
4,0.8418963451168364,0.3559689711781588,0.8445807772180054,0.35392747682296427
5,0.8469892150988616,0.3480482233042057,0.8098159509202454,0.38379220502995764
6,0.847663271420012,0.34210247183503184,0.8139059305922386,0.37967606324603465
7,0.8489364889155183,0.3359312656362875,0.8139059308360204,0.3732932497631065
8,0.8541042540443379,0.3285894143395684,0.8384458081366338,0.3257238825893597
9,0.8568753744757339,0.3216591085892655,0.8261758693644362,0.3652595246862049
10,0.8616686638705812,0.31586286255954765,0.8425357875648452,0.34029469021990255
11,0.8647393648891551,0.3070301640312282,0.8486707568899986,0.33491067274460273
12,0.871779508687837,0.29737578638661327,0.8425357874429543,0.32688535460421403
13,0.8752246854403835,0.2897565179309708,0.8118609411828601,0.40012207048314724
14,0.8730527261833433,0.28666123463239335,0.8445807772180054,0.33496662590401305
15,0.8820401437986819,0.2674460760432135,0.8343558282818043,0.3532946607086556
16,0.8861593768723787,0.26247135292205215,0.8016359923076044,0.4024009899615266
17,0.8913271420011983,0.2514471375679741,0.8548057262151519,0.32718500013487956
18,0.8926752546434991,0.2472538799092111,0.8404907977897941,0.3759602682478345
19,0.899565608148592,0.23144324935432534,0.8118609408171874,0.42596195753976124
20,0.9070551228280408,0.21873919562692767,0.8384458077709611,0.4010513978562716
21,0.9095266626722588,0.21599062021047216,0.8384458080147429,0.38153043675763965
22,0.9171659676452966,0.20425042568958757,0.8609406952965235,0.34657446196748437
23,0.9184391851408029,0.19345390363867015,0.8302658487926475,0.4152168094929011
24,0.9212852007189934,0.18859018046138815,0.8445807773398963,0.40129781768853434
